player_id,gw_id,opp_team_id,own_team_id,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,is_home,effective_gw_id,fixture_opp_team_id,home_flag,own_id,own_name,own_strength,own_strength_attack_away,own_strength_attack_home,own_strength_defence_away,own_strength_defence_home,own_strength_overall_away,own_strength_overall_home,opp_id,opp_name,opp_strength,opp_strength_attack_away,opp_strength_attack_home,opp_strength_defence_away,opp_strength_defence_home,opp_strength_overall_away,opp_strength_overall_home,position,was_home_lag_1,was_home_lag_2,was_home_lag_3,team_h_score_lag_1,team_h_score_lag_2,team_h_score_lag_3,team_a_score_lag_1,team_a_score_lag_2,team_a_score_lag_3,goals_scored_lag_1,goals_scored_lag_2,goals_scored_lag_3,assists_lag_1,assists_lag_2,assists_lag_3,clean_sheets_lag_1,clean_sheets_lag_2,clean_sheets_lag_3,goals_conceded_lag_1,goals_conceded_lag_2,goals_conceded_lag_3,own_goals_lag_1,own_goals_lag_2,own_goals_lag_3,penalties_saved_lag_1,penalties_saved_lag_2,penalties_saved_lag_3,penalties_missed_lag_1,penalties_missed_lag_2,penalties_missed_lag_3,yellow_cards_lag_1,yellow_cards_lag_2,yellow_cards_lag_3,red_cards_lag_1,red_cards_lag_2,red_cards_lag_3,saves_lag_1,saves_lag_2,saves_lag_3,bonus_lag_1,bonus_lag_2,bonus_lag_3,minutes_lag_1,minutes_lag_2,minutes_lag_3,bps_lag_1,bps_lag_2,bps_lag_3,influence_lag_1,influence_lag_2,influence_lag_3,creativity_lag_1,creativity_lag_2,creativity_lag_3,threat_lag_1,threat_lag_2,threat_lag_3,ict_index_lag_1,ict_index_lag_2,ict_index_lag_3,selected_lag_1,selected_lag_2,selected_lag_3,transfers_in_lag_1,transfers_in_lag_2,transfers_in_lag_3,transfers_out_lag_1,transfers_out_lag_2,transfers_out_lag_3,transfers_balance_lag_1,transfers_balance_lag_2,transfers_balance_lag_3,opp_strength_lag_1,opp_strength_lag_2,opp_strength_lag_3,opp_strength_overall_home_lag_1,opp_strength_overall_home_lag_2,opp_strength_overall_home_lag_3,opp_strength_overall_away_lag_1,opp_strength_overall_away_lag_2,opp_strength_overall_away_lag_3,opp_strength_attack_home_lag_1,opp_strength_attack_home_lag_2,opp_strength_attack_home_lag_3,opp_strength_attack_away_lag_1,opp_strength_attack_away_lag_2,opp_strength_attack_away_lag_3,opp_strength_defence_home_lag_1,opp_strength_defence_home_lag_2,opp_strength_defence_home_lag_3,opp_strength_defence_away_lag_1,opp_strength_defence_away_lag_2,opp_strength_defence_away_lag_3,own_xg_lag_1,own_xg_lag_2,own_xg_lag_3,own_xga_lag_1,own_xga_lag_2,own_xga_lag_3,own_npxg_lag_1,own_npxg_lag_2,own_npxg_lag_3,own_npxga_lag_1,own_npxga_lag_2,own_npxga_lag_3,own_deep_lag_1,own_deep_lag_2,own_deep_lag_3,own_deep_allowed_lag_1,own_deep_allowed_lag_2,own_deep_allowed_lag_3,own_xpts_lag_1,own_xpts_lag_2,own_xpts_lag_3,own_npxgd_lag_1,own_npxgd_lag_2,own_npxgd_lag_3,own_ppda_att_lag_1,own_ppda_att_lag_2,own_ppda_att_lag_3,own_ppda_def_lag_1,own_ppda_def_lag_2,own_ppda_def_lag_3,own_ppda_allowed_att_lag_1,own_ppda_allowed_att_lag_2,own_ppda_allowed_att_lag_3,own_ppda_allowed_def_lag_1,own_ppda_allowed_def_lag_2,own_ppda_allowed_def_lag_3,opp_xg_lag_1,opp_xg_lag_2,opp_xg_lag_3,opp_xga_lag_1,opp_xga_lag_2,opp_xga_lag_3,opp_npxg_lag_1,opp_npxg_lag_2,opp_npxg_lag_3,opp_npxga_lag_1,opp_npxga_lag_2,opp_npxga_lag_3,opp_deep_lag_1,opp_deep_lag_2,opp_deep_lag_3,opp_deep_allowed_lag_1,opp_deep_allowed_lag_2,opp_deep_allowed_lag_3,opp_xpts_lag_1,opp_xpts_lag_2,opp_xpts_lag_3,opp_npxgd_lag_1,opp_npxgd_lag_2,opp_npxgd_lag_3,opp_ppda_att_lag_1,opp_ppda_att_lag_2,opp_ppda_att_lag_3,opp_ppda_def_lag_1,opp_ppda_def_lag_2,opp_ppda_def_lag_3,opp_ppda_allowed_att_lag_1,opp_ppda_allowed_att_lag_2,opp_ppda_allowed_att_lag_3,opp_ppda_allowed_def_lag_1,opp_ppda_allowed_def_lag_2,opp_ppda_allowed_def_lag_3,season_id,team,global_gw_id,reg_target,star_target
1,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,3,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51023.0,53689.0,56403.0,276.0,616.0,647.0,3460.0,4840.0,5971.0,-3184.0,-4224.0,-5324.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
2,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.0,6624.0,6274.0,182.0,233.0,38.0,574.0,400.0,777.0,-392.0,-167.0,-739.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
3,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,90.0,90.0,12.0,12.0,13.0,8.8,14.6,23.0,2.5,3.3,0.8,2.0,19.0,0.0,1.3,3.7,2.4,79892.0,73952.0,69592.0,6821.0,5063.0,6180.0,4425.0,6195.0,4916.0,2396.0,-1132.0,1264.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
4,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,3,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,12.0,7.0,10.0,6.6,8.6,9.4,16.0,29.9,4.6,12.0,2.0,30.0,3.5,4.1,4.4,1193283.0,1397443.0,2000213.0,14819.0,29415.0,106551.0,250331.0,612226.0,226718.0,-235512.0,-582811.0,-120167.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
5,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15289.0,16059.0,16771.0,280.0,518.0,218.0,1348.0,1962.0,4067.0,-1068.0,-1444.0,-3849.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
6,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,1,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,21.0,0.0,-3.0,2.0,0.0,2.4,0.0,0.0,21.4,0.0,0.0,46.0,0.0,0.0,7.0,0.0,0.0,290288.0,339461.0,395242.0,7838.0,24370.0,65917.0,62949.0,83103.0,36570.0,-55111.0,-58733.0,29347.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
7,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,9.0,0.0,0.0,7.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1197.0,1020.0,1016.0,155.0,57.0,51.0,77.0,96.0,130.0,78.0,-39.0,-79.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
8,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,2,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,90.0,90.0,90.0,11.0,19.0,12.0,12.0,31.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.2,1.1,693944.0,689120.0,675971.0,29541.0,58395.0,67684.0,36509.0,60165.0,35351.0,-6968.0,-1770.0,32333.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
9,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,3,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,82.0,9.0,5.0,10.0,3.0,14.0,6.4,1.4,4.7,1.8,0.0,8.0,0.0,0.0,2.7,0.8,0.1,44236.0,46661.0,53027.0,953.0,1557.0,3893.0,4400.0,8973.0,7263.0,-3447.0,-7416.0,-3370.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
10,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,636.0,667.0,53.0,45.0,31.0,72.0,95.0,86.0,-19.0,-50.0,-55.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
11,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0,90.0,90.0,8.0,15.0,36.0,6.6,10.8,44.8,4.1,2.0,26.0,21.0,0.0,4.0,3.2,1.3,7.5,430008.0,403783.0,326848.0,47560.0,95561.0,23203.0,25933.0,39588.0,33099.0,21627.0,55973.0,-9896.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
13,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,951.0,989.0,30.0,46.0,49.0,60.0,108.0,143.0,-30.0,-62.0,-94.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
14,7,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7,13.0,False,1,Arsenal,4,1210,1160,1230,1190,1250,1240,13,Man Utd,4,1230,1210,1290,1200,1250,1220,0,True,False,True,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14538.0,15296.0,16501.0,299.0,402.0,764.0,1406.0,2209.0,2139.0,-1107.0,-1807.0,-1375.0,4.0,5.0,3.0,1200.0,1330.0,1140.0,1240.0,1350.0,1160.0,1190.0,1250.0,1130.0,1230.0,1310.0,1160.0,1200.0,1330.0,1020.0,1230.0,1340.0,1050.0,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,0.73944,0.838322,0.667131,0.736172,1.43023,0.144994,5.0,3.0,4.0,2.0,7.0,3.0,1.2724,0.8435999999999999,1.8925,0.0032679999999999376,-0.5919079999999999,0.5221370000000001,264.0,346.0,167.0,24.0,17.0,12.0,367.0,311.0,445.0,14.0,23.0,23.0,,0.648427,2.21729,,0.219906,0.867496,,0.648427,1.45612,,0.219906,0.867496,,6.0,12.0,,1.0,3.0,,1.7338,2.3800999999999997,,0.428521,0.588624,,375.0,206.0,,17.0,34.0,,323.0,340.0,,22.0,28.0,2,,207,8.0,0
